date,meal_price,restaurant,discount_meal_price
2023-10-05,8.86,Restavracija Shaolin,5.0
2023-10-07,8.49,Fari's,4.63
2023-10-10,6.76,Okrepčevalnica Marijanca,2.9
2023-10-10,7.0,Namaste Indian Express,
2023-10-11,6.76,Okrepčevalnica Marijanca,2.9
2023-10-12,9.0,BURGER TIME,5.14
2023-10-18,6.76,Okrepčevalnica Marijanca,2.9
2023-10-18,8.2,Kitajska restavracija Novi Šanghai,4.34
2023-10-20,6.76,Okrepčevalnica Marijanca,2.9
2023-10-25,6.76,Okrepčevalnica Marijanca,2.9
2023-10-25,9.0,BURGER TIME,5.14
2023-10-26,8.86,Restavracija Shaolin,5.0
2023-11-01,6.5,McDonald's restavracija - Celje Drive,2.64
2023-11-01,6.36,Šeherezada,
2023-11-03,6.76,Okrepčevalnica Marijanca,2.9
2023-11-04,6.36,Šeherezada,2.5
2023-11-08,6.36,Šeherezada 2,2.5
2023-11-10,9.0,Zbornica bar in žar,5.14
2023-11-12,7.9,Baščaršija Koper Carpacciov trg,4.04
2023-11-15,6.76,Okrepčevalnica Marijanca,2.9
2023-11-20,9.0,Zbornica bar in žar,5.14
2023-11-20,8.86,Restavracija Shaolin,5.0
2023-11-21,6.76,Okrepčevalnica Marijanca,2.9
2023-11-22,6.36,Šeherezada,
2023-11-22,6.76,Okrepčevalnica Marijanca,2.9
2023-11-23,9.0,Zbornica bar in žar,5.14
2023-11-24,6.76,Okrepčevalnica Marijanca,2.9
2023-11-29,6.76,Okrepčevalnica Marijanca,2.9
2023-12-10,9.0,BURGER TIME,5.14
2023-12-14,6.5,McDonald's restavracija - Železniška,2.64
2023-12-15,6.76,Okrepčevalnica Marijanca,2.9
2023-12-18,3.86,Okrepčevalnica HOLYFOOD,0.0
2023-12-18,0.17,Cantina QUE PASA,
2023-12-19,6.76,Okrepčevalnica Marijanca,2.9
2024-01-01,8.86,Restavracija Shaolin,5.0
2024-01-05,4.06,Leonard,0.2
2024-01-06,6.86,Šeherezada,3.0
2024-01-07,9.0,Gostilnica in pivnica Kratochwill,5.14
2024-01-09,6.76,Okrepčevalnica Marijanca,2.9
2024-01-10,9.0,Pizzeria in oštarija Fugazi,5.14
2024-01-11,9.0,Restavracija Fany & Mary,5.14
2024-01-11,7.0,Namaste Indian Express,3.14
2024-01-16,9.0,BURGER TIME,5.14
2024-01-17,9.0,Pizzeria in oštarija Fugazi,5.14
2024-01-18,9.0,Yuko,5.14
2024-01-19,9.0,Pizzeria Briksen,5.14
2024-01-22,6.76,Okrepčevalnica Marijanca,2.9
2024-01-22,6.5,McDonald's restavracija - Železniška,2.64
2024-01-24,6.76,Okrepčevalnica Marijanca,2.9
2024-01-26,8.85,KOA Bistro & bar,4.99
2024-01-28,9.0,Gostilnica in pivnica Kratochwill,5.14
2024-01-29,9.0,Gostilnica Meta in Bazilika,5.14
2024-01-30,3.86,ŽITO Ljubljana Bavarski dvor,0.0
2024-01-30,8.16,Cantina QUE PASA,4.3
2024-02-01,8.16,Cantina QUE PASA,4.3
2024-02-02,9.0,ABI FALAFEL,5.14
2024-02-03,8.0,Pelmenarna,4.14
2024-02-04,8.16,RIKŠA CURRY & WOK,4.3
2024-02-05,9.0,"DA BU DA, Azijska restavracija",5.14
2024-02-07,9.0,Pizzeria in oštarija Fugazi,5.14
2024-02-08,9.0,"JOE PENA'S, mehiška restavracija",5.14
2024-02-09,3.86,ŽITO Ljubljana Bavarski dvor,0.0
2024-02-10,8.16,Cantina QUE PASA,4.3